02:10:41.107954 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2425052:2425256, ack 1333, win 501, length 204
02:10:41.108126 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2425256:2425460, ack 1333, win 501, length 204
02:10:41.108343 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2425460:2425664, ack 1333, win 501, length 204
02:10:41.108485 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2425664:2425868, ack 1333, win 501, length 204
02:10:41.108626 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2425868:2426072, ack 1333, win 501, length 204
02:10:41.108789 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2426072:2426276, ack 1333, win 501, length 204
02:10:41.108915 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2426276:2426480, ack 1333, win 501, length 204
02:10:41.109038 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2426480:2426684, ack 1333, win 501, length 204
02:10:41.109228 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2426684:2426888, ack 1333, win 501, length 204
02:10:41.109368 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2426888:2427092, ack 1333, win 501, length 204
02:10:41.109502 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2427092:2427296, ack 1333, win 501, length 204
02:10:41.109628 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2427296:2427500, ack 1333, win 501, length 204
02:10:41.109762 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2427500:2427704, ack 1333, win 501, length 204
02:10:41.109887 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2427704:2427908, ack 1333, win 501, length 204
02:10:41.110010 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2427908:2428112, ack 1333, win 501, length 204
02:10:41.110075 IP cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355 > 143.198.40.7.ssh: Flags [.], ack 2294124, win 3091, length 0
02:10:41.110288 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2428112:2428460, ack 1333, win 501, length 348
02:10:41.110423 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2428460:2428664, ack 1333, win 501, length 204
02:10:41.110556 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2428664:2428868, ack 1333, win 501, length 204
02:10:41.110680 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2428868:2429072, ack 1333, win 501, length 204
02:10:41.110840 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2429072:2429276, ack 1333, win 501, length 204
02:10:41.111088 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2429276:2429480, ack 1333, win 501, length 204
02:10:41.111305 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2429480:2429684, ack 1333, win 501, length 204
02:10:41.111494 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2429684:2429888, ack 1333, win 501, length 204
02:10:41.111693 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2429888:2430092, ack 1333, win 501, length 204
